id_terraza,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_clase_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,nom_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,Escalera,id_planta_agrupado,id_local_agrupado,coordenada_x_agrupacion,coordenada_y_agrupacion,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,id_clase_ndp_terraza,ID_VIAL,DESC_CLASE,DESC_NOMBRE,nom_terraza,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra
3150,280011953,1,CENTRO              ,106,SOL                 ,20007006,1,604200,CALLE                   ,POSTAS                                            ,NUM,12,28012,44011659,447417053,1,Puerta Calle,1,Abierto,10,,PB,01,,,PEPE TACO,1,Anual,1,Abierta,96,96,24/11/2015,20007006,1,604200,CALLE                   ,POSTAS                                            ,NUM,12,  ,Calle peatonal,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,11:00:00 p. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,11:00:00 p. m.,0,0,3,3,11,  
3151,280011308,1,CENTRO              ,106,SOL                 ,11007223,1,608100,CALLE                   ,PRECIADOS                                         ,NUM,34,28013,44004859,447458653,1,Puerta Calle,1,Abierto,10,,PB,IZ,,,ANTOINETTE,1,Anual,1,Abierta,585,585,24/11/2015,11007223,1,608100,CALLE                   ,PRECIADOS                                         ,NUM,34,  ,Calle peatonal,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,3,3,9,  
3152,130001430,13,PUENTE DE VALLECAS  ,1304,PALOMERAS SURESTE   ,11096651,1,625150,CALLE                   ,RAFAEL FERNANDEZ HIJICOS                          ,NUM,1,28038,44596755,447149645,1,Puerta Calle,1,Abierto,30,,PB,,,,BAR BARRASA,2,Estacional,1,Abierta,20,,24/11/2015,11096651,1,625150,CALLE                   ,RAFAEL FERNANDEZ HIJICOS                          ,NUM,1,  ,Superficie en parcela privada,10:00:00 a. m.,01:00:00 a. m.,,,10:00:00 a. m.,02:00:00 a. m.,,,0,,5,,19,  
3153,40002177,4,SALAMANCA           ,405,LISTA               ,11019466,1,411300,CALLE                   ,JUAN BRAVO                                        ,NUM,29,28006,44240758,447601351,1,Puerta Calle,1,Abierto,10,,PB,,,,VE-GA BAR,1,Anual,1,Abierta,55,55,22/03/2019,11019466,1,411300,CALLE                   ,JUAN BRAVO                                        ,NUM,29,  ,Bulevar,08:00:00 a. m.,12:00:00 a. m.,08:00:00 a. m.,12:00:00 a. m.,08:00:00 a. m.,12:00:00 a. m.,08:00:00 a. m.,12:00:00 a. m.,0,0,16,16,30,  
3154,280054157,11,CARABANCHEL         ,1104,VISTA ALEGRE        ,11074765,1,346300,CALLE                   ,GUABAIRO                                          ,NUM,21,28047,4367006,447082255,1,Puerta Calle,1,Abierto,20,,PB,C,,,CAFETERIA CARBALLO,1,Anual,1,Abierta,876,876,25/11/2015,11074765,1,346300,CALLE                   ,GUABAIRO                                          ,NUM,21,  ,Acera,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,12:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,3,3,11,  
3155,270533478,9,MONCLOA-ARAVACA     ,907,ARAVACA             ,20092786,1,1868,CALLE                   ,GOLONDRINA                                        ,NUM,37,28023,43344065,447810361,1,Puerta Calle,1,Abierto,10,,PB,01,,,EL MONTE ARARAT,1,Anual,1,Abierta,28,28,26/11/2015,20092786,1,1868,CALLE                   ,GOLONDRINA                                        ,NUM,37,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,8,8,32,  
3156,90000087,9,MONCLOA-ARAVACA     ,902,ARGUELLES           ,11052731,1,487400,CALLE                   ,MARQUES DE URQUIJO                                ,NUM,10,28008,4391616,447578454,1,Puerta Calle,1,Abierto,40,,PB,,,,MERCADO PROVENZAL,1,Anual,1,Abierta,2388,2388,26/11/2015,11052731,1,487400,CALLE                   ,MARQUES DE URQUIJO                                ,NUM,10,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,9,9,26,  
3157,285032788,18,VILLA DE VALLECAS   ,1803,ENSANCHE DE VALLECAS,31023518,1,31000506,CALLE                   ,ALAMEDA DEL VALLE                                 ,NUM,34,28051,44730852,446854443,1,Puerta Calle,1,Abierto,40,,PB,01,,,DE TAPEO,1,Anual,1,Abierta,5328,5328,26/11/2015,31047041,1,31000606,CALLE                   ,TALAMANCA DEL JARAMA                              ,NUM,29, A,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,14,14,56,  
3159,110003419,11,CARABANCHEL         ,1101,COMILLAS            ,11069000,1,575500,CALLE                   ,PEDRO YAGÜE                                       ,NUM,2,28019,43984559,447160953,1,Puerta Calle,1,Abierto,90,,PB,01,,,BAR RIAZOR,2,Estacional,1,Abierta,61,,26/11/2015,11069000,1,575500,CALLE                   ,PEDRO YAGÜE                                       ,NUM,2,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,,,10:00:00 a. m.,02:30:00 a. m.,,,0,,3,,8,  
3161,270526772,9,MONCLOA-ARAVACA     ,903,CIUDAD UNIVERSITARIA,31004042,1,311100,CALLE                   ,FRANCOS RODRIGUEZ                                 ,NUM,69,28039,43963061,447876055,1,Puerta Calle,1,Abierto,10,,PB,14A,,,FRISBEE,1,Anual,1,Abierta,4859,4859,27/11/2015,31004042,1,311100,CALLE                   ,FRANCOS RODRIGUEZ                                 ,NUM,69,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,18,18,60,  
3162,280056075,11,CARABANCHEL         ,1106,BUENAVISTA          ,31023457,1,31000018,CALLE                   ,MORALES                                           ,NUM,10,28054,43578058,446815255,1,Puerta Calle,1,Abierto,30,,PB,26,,,LA GALERIA,1,Anual,1,Abierta,5554,3008,27/11/2015,31023457,1,31000018,CALLE                   ,MORALES                                           ,NUM,10, F,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,16,10,54, F
3163,270161855,13,PUENTE DE VALLECAS  ,1304,PALOMERAS SURESTE   ,11096808,1,663600,CALLE                   ,SAN CLAUDIO                                       ,NUM,92,28038,44554055,447112246,1,Puerta Calle,1,Abierto,10,,SO,DR,,,TABERNA ROBERT,2,Estacional,1,Abierta,1825,,30/11/2015,11096808,1,663600,CALLE                   ,SAN CLAUDIO                                       ,NUM,92,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,,,10:00:00 a. m.,02:30:00 a. m.,,,0,,3,,12,  
