prov_insc,cant_insc,parr_insc,anio_insc,mes_insc,mes_reg,dia_insc,fecha_insc,hijos_rec,mcap_bie,nac_1,cod_pais1,sexo_1,anio_nac1,mes_nac1,dia_nac1,fecha_nac1,edad_1,nmatant1,est_civi1,p_etnica1,niv_inst1,sabe_leer1,prov_hab1,cant_hab1,parr_hab1,area_1,nac_2,cod_pais2,sexo_2,anio_nac2,mes_nac2,dia_nac2,fecha_nac2,edad_2,nmatant2,est_civi2,p_etnica2,niv_inst2,sabe_leer2,prov_hab2,cant_hab2,parr_hab2,area_2
9,901,90112,2020,12,diciembre,31,12/31/2020,0,2,1,218,1,1984,6,11,06/11/1984,36,1,2,6,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
9,910,91050,2020,1,enero,3,01/03/2020,0,2,1,218,1,1969,12,14,12/14/1969,50,0,1,6,4,0,9,910,91050,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,910,91050,1
9,901,90110,2020,1,enero,2,01/02/2020,3,2,1,218,1,1970,4,19,4/19/1970,49,0,1,6,6,0,9,901,90110,1,1,218,2,9999,99,99, ,999,1,2,6,4,0,9,901,90110,1
9,901,90110,2020,1,enero,29,1/29/2020,0,2,1,218,1,1952,9,17,9/17/1952,67,0,1,6,4,0,9,901,90110,1,1,218,2,9999,99,99, ,999,1,2,6,4,0,9,901,90110,1
17,1701,170112,2020,9,septiembre,7,09/07/2020,0,9,1,218,2,1967,5,24,5/24/1967,53,0,1,6,6,0,17,1701,170112,1,9,999,2,9999,99,99, ,999,1,2,7,9,0,17,1701,170112,1
17,1701,170112,2020,10,octubre,30,10/30/2020,0,2,1,218,2,1984,5,29,5/29/1984,36,0,1,6,8,0,17,1701,170112,1,2,380,2,9999,99,99, ,999,1,2,7,6,0,17,1701,170112,1
17,1701,170112,2020,12,diciembre,21,12/21/2020,0,2,1,218,2,1991,4,29,4/29/1991,29,0,1,6,8,0,17,1701,170112,1,9,999,2,9999,99,99, ,999,1,2,7,9,0,17,1701,170112,1
9,914,91450,2020,6,junio,26,6/26/2020,3,2,1,218,1,1976,10,12,10/12/1976,43,0,1,6,4,0,9,914,91450,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,914,91450,1
9,901,90110,2020,3,marzo,5,03/05/2020,0,2,1,218,2,1996,10,24,10/24/1996,23,0,1,6,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90110,1
9,901,90110,2020,7,julio,27,7/27/2020,0,2,1,218,2,1973,6,15,6/15/1973,47,0,1,6,8,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90110,1
9,901,90110,2020,8,agosto,13,8/13/2020,0,2,1,218,1,1997,5,17,5/17/1997,23,0,1,6,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90110,1
9,901,90110,2020,9,septiembre,23,9/23/2020,99,2,1,218,2,1995,3,11,03/11/1995,25,0,1,9,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90110,1
9,901,90112,2020,2,febrero,14,2/14/2020,0,2,1,218,1,1957,2,28,2/28/1957,62,0,1,6,6,0,9,901,90112,1,1,218,2,9999,99,99, ,999,1,2,6,6,0,9,901,90112,1
9,901,90112,2020,1,enero,17,1/17/2020,2,2,1,218,1,1995,3,18,3/18/1995,24,0,1,6,6,0,9,901,90112,1,1,218,2,9999,99,99, ,999,1,2,6,6,0,9,901,90112,1
9,901,90112,2020,2,febrero,26,2/26/2020,0,2,1,218,1,1982,4,14,4/14/1982,37,0,1,5,6,0,9,901,90112,1,1,218,2,9999,99,99, ,999,1,2,6,6,0,9,901,90112,1
9,901,90110,2020,11,noviembre,20,11/20/2020,0,2,1,218,1,1977,5,25,5/25/1977,43,0,1,6,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90110,1
9,901,90112,2020,11,noviembre,5,11/05/2020,0,2,1,218,1,1988,10,24,10/24/1988,32,0,1,6,8,0,9,901,90112,1,1,218,2,9999,99,99, ,999,1,2,6,8,0,9,901,90112,1
9,901,90112,2020,6,junio,19,6/19/2020,0,2,1,218,1,1982,7,14,7/14/1982,37,0,1,6,8,0,9,901,90112,1,1,218,2,9999,99,99, ,999,1,2,6,8,0,9,901,90112,1
9,901,90112,2020,6,junio,23,6/23/2020,0,2,1,218,1,1962,3,22,3/22/1962,58,0,1,6,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
9,901,90110,2020,11,noviembre,4,11/04/2020,1,2,1,218,1,1965,1,20,1/20/1965,55,0,1,6,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90110,1
9,901,90112,2020,7,julio,30,7/30/2020,0,2,1,218,1,1974,1,21,1/21/1974,46,0,1,6,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
9,912,91250,2020,12,diciembre,11,12/11/2020,0,2,1,218,1,1994,1,13,1/13/1994,26,0,1,6,8,0,9,912,91250,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,912,91250,1
9,901,90112,2020,12,diciembre,15,12/15/2020,1,2,1,218,1,1968,2,25,2/25/1968,52,0,1,6,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
9,901,90112,2020,12,diciembre,16,12/16/2020,0,2,1,218,1,1983,8,18,8/18/1983,37,0,1,6,4,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
9,901,90112,2020,12,diciembre,16,12/16/2020,0,2,1,218,1,1988,6,5,06/05/1988,32,0,1,7,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,7,9,0,9,901,90112,1
9,901,90112,2020,12,diciembre,16,12/16/2020,2,2,1,218,1,1983,6,9,06/09/1983,37,0,1,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
9,901,90112,2020,12,diciembre,28,12/28/2020,0,2,1,218,1,1983,3,10,03/10/1983,37,0,1,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,7,9,0,9,901,90112,1
9,901,90112,2020,12,diciembre,22,12/22/2020,0,2,1,218,1,1988,6,3,06/03/1988,32,0,1,6,4,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,3,6,9,0,9,901,90112,1
9,901,90110,2020,2,febrero,17,2/17/2020,5,2,1,218,1,1963,8,15,8/15/1963,56,99,9,6,4,0,9,901,90110,1,1,218,2,9999,99,99, ,999,0,1,6,4,0,9,901,90110,1
9,901,90110,2020,12,diciembre,18,12/18/2020,5,2,1,218,1,1961,2,16,2/16/1961,59,99,9,9,4,0,9,901,90110,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90110,1
9,901,90110,2020,12,diciembre,18,12/18/2020,0,2,1,218,1,1998,12,5,12/05/1998,22,99,9,6,8,0,9,901,90110,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90110,1
9,901,90110,2020,8,agosto,3,08/03/2020,1,2,1,218,1,1994,10,31,10/31/1994,25,9,9,9,8,0,9,901,90110,1,1,218,2,9999,99,99, ,999,0,1,6,6,0,9,901,90110,1
9,901,90112,2020,2,febrero,22,2/22/2020,0,2,1,218,1,1982,9,11,09/11/1982,37,2,2,6,8,0,9,901,90112,1,1,218,2,9999,99,99, ,999,0,1,6,8,0,9,901,90112,1
9,901,90112,2020,12,diciembre,15,12/15/2020,0,2,1,218,1,1979,1,10,01/10/1979,41,2,2,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,9,9,0,9,901,90112,1
9,901,90112,2020,12,diciembre,21,12/21/2020,0,1,1,218,1,1948,8,14,8/14/1948,72,2,2,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90112,1
9,901,90110,2020,1,enero,3,01/03/2020,3,2,1,218,1,1985,7,21,7/21/1985,34,1,2,6,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90110,1
9,901,90110,2020,1,enero,9,01/09/2020,2,2,1,218,1,1965,10,4,10/04/1965,54,1,2,5,6,0,9,901,90110,1,1,218,2,9999,99,99, ,999,0,1,6,4,0,9,901,90110,1
9,901,90110,2020,1,enero,10,01/10/2020,0,2,1,218,1,1979,1,8,01/08/1979,41,1,2,6,4,0,9,901,90110,1,1,218,2,9999,99,99, ,999,0,1,6,4,0,9,901,90110,1
9,907,90701,2020,1,enero,6,01/06/2020,0,2,1,218,1,1984,2,16,2/16/1984,35,1,2,6,6,0,9,907,90701,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,907,90701,1
9,901,90110,2020,2,febrero,7,02/07/2020,2,2,1,218,1,1965,6,5,06/05/1965,54,1,3,6,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90110,1
9,901,90110,2020,1,enero,14,1/14/2020,3,2,1,218,1,1959,11,4,11/04/1959,60,1,3,5,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90110,1
9,901,90110,2020,2,febrero,19,2/19/2020,0,2,1,218,1,1993,9,6,09/06/1993,26,1,2,6,8,0,9,901,90110,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90110,1
9,901,90110,2020,2,febrero,17,2/17/2020,1,2,1,218,1,1958,5,31,5/31/1958,61,1,2,6,4,0,9,901,90110,1,1,218,2,9999,99,99, ,999,0,1,6,4,0,9,901,90110,1
17,1701,170126,2020,3,marzo,2,03/02/2020,0,2,1,218,1,1975,3,5,03/05/1975,44,1,2,6,6,0,17,1701,170126,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,17,1701,170126,1
17,1701,170126,2020,12,diciembre,24,12/24/2020,0,2,1,218,1,1987,2,18,2/18/1987,33,1,2,6,8,0,17,1701,170126,1,1,218,2,9999,99,99, ,999,0,1,6,8,0,17,1701,170126,1
17,1701,170112,2020,9,septiembre,15,9/15/2020,0,2,1,218,1,1985,7,11,07/11/1985,35,1,2,6,6,0,17,1701,170112,1,9,999,2,9999,99,99, ,999,0,1,7,9,0,17,1701,170112,1
17,1701,170112,2020,10,octubre,1,10/01/2020,0,2,1,218,1,1965,5,6,05/06/1965,55,1,2,6,6,0,17,1701,170112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,17,1701,170112,1
17,1701,170112,2020,10,octubre,6,10/06/2020,0,2,1,218,1,1963,1,8,01/08/1963,57,1,2,6,4,0,17,1701,170112,1,1,218,2,9999,99,99, ,999,0,1,6,6,0,17,1701,170112,1
17,1701,170112,2020,10,octubre,27,10/27/2020,0,2,1,218,1,1969,3,14,3/14/1969,51,1,2,8,2,0,17,1701,170112,1,9,999,2,9999,99,99, ,999,0,1,8,9,0,17,1701,170112,1
17,1701,170112,2020,11,noviembre,18,11/18/2020,0,2,1,218,1,1952,9,21,9/21/1952,68,1,2,7,8,0,17,1701,170112,1,9,999,2,9999,99,99, ,999,0,1,7,9,0,17,1701,170112,1
17,1701,170112,2020,12,diciembre,10,12/10/2020,0,2,1,218,1,1981,2,13,2/13/1981,39,1,2,6,8,0,17,1701,170112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,17,1701,170112,1
17,1701,170112,2020,11,noviembre,28,11/28/2020,0,2,1,218,1,1968,7,29,7/29/1968,52,1,2,6,8,0,17,1701,170112,1,9,999,2,9999,99,99, ,999,0,1,4,9,0,17,1701,170112,1
17,1701,170112,2020,12,diciembre,16,12/16/2020,0,9,2,152,1,1967,4,26,4/26/1967,53,1,2,6,8,0,17,1701,170112,1,9,999,2,9999,99,99, ,999,0,1,7,9,0,17,1701,170112,1
17,1701,170112,2020,12,diciembre,17,12/17/2020,0,2,1,218,1,1985,4,23,4/23/1985,35,1,2,6,8,0,17,1701,170112,1,9,999,2,9999,99,99, ,999,0,1,8,9,0,17,1701,170112,1
17,1701,170112,2020,12,diciembre,28,12/28/2020,0,9,1,218,1,1988,1,21,1/21/1988,32,1,2,6,8,0,17,1701,170112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,17,1701,170112,1
9,907,90701,2020,8,agosto,12,08/12/2020,0,2,1,218,1,1959,8,26,8/26/1959,60,1,3,6,4,0,9,907,90701,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,907,90701,1
9,901,90110,2020,10,octubre,27,10/27/2020,1,2,1,218,1,1972,12,30,12/30/1972,47,1,2,6,4,0,9,901,90110,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90110,1
9,901,90110,2020,11,noviembre,20,11/20/2020,0,2,1,218,1,1976,9,19,9/19/1976,44,1,2,6,4,0,9,901,90110,1,1,218,2,9999,99,99, ,999,0,1,6,6,0,9,901,90110,1
9,901,90112,2020,1,enero,6,01/06/2020,0,2,2,724,1,1956,12,29,12/29/1956,63,1,2,6,2,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90112,1
9,901,90112,2020,2,febrero,21,2/21/2020,0,2,1,218,1,1982,2,26,2/26/1982,37,1,2,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90112,1
9,901,90112,2020,3,marzo,10,03/10/2020,0,2,1,218,1,1983,6,19,6/19/1983,36,1,2,6,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,8,9,0,9,901,90112,1
9,901,90112,2020,4,abril,30,4/30/2020,1,2,1,218,1,1987,6,22,6/22/1987,32,1,2,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,7,9,0,9,901,90112,1
9,901,90112,2020,5,mayo,15,5/15/2020,0,2,1,218,1,1982,11,13,11/13/1982,37,1,2,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90112,1
9,901,90112,2020,1,enero,17,1/17/2020,0,9,1,218,1,1942,5,25,5/25/1942,77,1,2,6,4,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90112,1
9,901,90112,2020,6,junio,26,6/26/2020,0,9,1,218,1,1990,6,30,6/30/1990,29,1,2,6,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90112,1
9,901,90112,2020,7,julio,23,7/23/2020,0,2,1,218,1,1980,3,25,3/25/1980,40,1,2,6,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90112,1
9,901,90112,2020,7,julio,10,07/10/2020,0,2,1,218,1,1985,8,26,8/26/1985,34,1,3,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90112,1
9,901,90110,2020,9,septiembre,9,09/09/2020,0,2,1,218,1,1942,6,1,06/01/1942,78,1,3,6,2,0,9,901,90110,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90110,1
