fecha;consumo_kWh
1/1/2018;3683
1/1/2018;456
1/1/2018;2771
1/1/2018;515
1/1/2018;791
1/1/2018;2281
1/1/2018;528
1/1/2018;1000
1/1/2018;3340
1/1/2018;396
1/1/2018;2146
1/1/2018;951
1/1/2018;1823
1/1/2018;2613
1/1/2018;1610
1/1/2018;1338
1/1/2018;462
1/1/2018;1224
1/1/2018;708
1/1/2018;1675
1/1/2018;2078
1/1/2018;2082
1/1/2018;1184
1/1/2018;1119
1/1/2018;1466
1/1/2018;2601
1/1/2018;2146
1/1/2018;1858
1/1/2018;1541
1/1/2018;586
1/1/2018;2549
1/1/2018;816
1/1/2018;1651
1/1/2018;1767
1/1/2018;2632
1/1/2018;1251
1/1/2018;498
1/1/2018;2207
1/1/2018;1548
1/1/2018;1525
1/1/2018;593
1/1/2018;1774
1/1/2018;1079
1/1/2018;5047
1/1/2018;894
1/1/2018;2133
1/1/2018;3.992
1/1/2018;12146
1/1/2018;2046
1/1/2018;3105
1/1/2018;781
1/1/2018;1809
1/1/2018;798
1/1/2018;10814
1/1/2018;1636
1/1/2018;1385
1/1/2018;1412
1/1/2018;1185
1/1/2018;1834
1/1/2018;449
1/1/2018;0
1/1/2018;0
1/1/2018;700
1/1/2018;5300
1/1/2018;1208
1/1/2018;1126
1/1/2018;916
1/1/2018;2371
1/1/2018;2234
1/1/2018;1.384
1/1/2018;2245
1/1/2018;468
1/1/2018;2366
1/1/2018;2836
1/1/2018;3123
1/1/2018;3.460
1/1/2018;841
1/1/2018;1614
1/1/2018;2355
1/1/2018;7921
1/1/2018;1519
1/1/2018;1.593
1/1/2018;792
1/1/2018;2290
1/1/2018;2.731
1/1/2018;1375
1/1/2018;1899
1/1/2018;3.413
1/1/2018;2.503
1/1/2018;1442
1/1/2018;1.018
1/1/2018;2972
1/1/2018;987
1/1/2018;3955
1/1/2018;1977
1/1/2018;792
1/1/2018;1815
1/1/2018;620
1/1/2018;2817
1/1/2018;2.635
1/1/2018;1338
1/1/2018;648
1/1/2018;1169
1/1/2018;1951
1/1/2018;3.026
1/1/2018;5.436
1/1/2018;2.476
1/1/2018;1.612
1/1/2018;1.951
1/1/2018;2.701
1/1/2018;2.029
1/1/2018;2.917
1/1/2018;2.085
1/1/2018;2.824
1/1/2018;3.571
1/1/2018;2574
1/1/2018;1014
1/1/2018;1077
1/1/2018;1.776
1/1/2018;2186
1/1/2018;1913
1/1/2018;13492
1/1/2018;5048
1/1/2018;3271
1/1/2018;4329
1/1/2018;5298
1/1/2018;4735
1/1/2018;1131
1/1/2018;473
1/1/2018;1884
1/1/2018;1233
1/1/2018;1.114
1/1/2018;1482
1/1/2018;1.726
1/1/2018;1.711
1/1/2018;1457
1/1/2018;908
1/1/2018;1439
1/1/2018;2.257
1/1/2018;4049
1/1/2018;857,93
1/1/2018;1320
1/1/2018;5651
1/1/2018;9667
1/1/2018;6852
1/1/2018;1122
1/1/2018;1402
1/1/2018;4986
1/1/2018;4760
